Match Name,teamA_name,teamB_name,year,teamA_won,predicted,probability_teamA,correct,teamA_kills,teamB_kills,teamA_acs,teamB_acs,teamA_rating,teamB_rating,teamA_kd,teamB_kd,diff_kills,diff_acs,diff_kd,resultado_real,resultado_predicho,prediccion_correcta,confianza
cis killers vs Winstrike Academy,Winstrike Academy,cis killers,2022,0,0,0.04000288327117846,1,129.0,152.0,182.4,216.6,0.858,1.1640000000000001,0.8486842105263158,1.178294573643411,-23.0,-34.19999999999999,-0.32961036311709513,Team B ganó,Team B ganó,Correcta,0.9199942334576431
Team Assassins vs Zeusaberz Esports,Team Assassins,Zeusaberz Esports,2021,0,0,0.09225593642247625,1,179.0,202.0,195.0,219.2,0.908,1.076,0.8861386138613861,1.1284916201117319,-23.0,-24.19999999999999,-0.24235300625034573,Team B ganó,Team B ganó,Correcta,0.8154881271550475
Renegados vs Agropesca Jacare,Agropesca Jacare,Renegados,2022,0,0,0.007539792684289509,1,226.0,282.0,178.8,222.6,0.7979999999999999,1.214,0.8014184397163121,1.247787610619469,-56.0,-43.79999999999998,-0.44636917090315686,Team B ganó,Team B ganó,Correcta,0.984920414631421
Regnum Carya Esports vs OutRage,OutRage,Regnum Carya Esports,2021,1,1,0.5657643115801749,1,409.0,400.0,204.9,201.4,0.991,0.95,1.0225,0.9779951100244498,9.0,3.5,0.04450488997555013,Team A ganó,Team A ganó,Correcta,0.13152862316034986
Pit Stop vs volvo peek,Pit Stop,volvo peek,2021,0,0,0.0339173019614703,1,178.0,215.0,179.2,208.0,,,0.827906976744186,1.2078651685393258,-37.0,-28.80000000000001,-0.3799581917951398,Team B ganó,Team B ganó,Correcta,0.9321653960770594
MTP Esport vs Ninjas in Pyjamas,MTP Esport,Ninjas in Pyjamas,2021,0,0,0.04405841344513362,1,189.0,219.0,189.2,218.0,0.8780000000000001,1.0859999999999999,0.863013698630137,1.1587301587301588,-30.0,-28.80000000000001,-0.29571646010002184,Team B ganó,Team B ganó,Correcta,0.9118831731097328
CERBERUS Esports vs OK,CERBERUS Esports,OK,2022,0,0,0.3870780528344738,1,205.0,207.0,203.6,198.5,0.9720000000000001,0.995,0.9903381642512077,1.0097560975609756,-2.0,5.099999999999994,-0.019417933309767932,Team B ganó,Team B ganó,Correcta,0.22584389433105245
Syntax vs CANO,CANO,Syntax,2021,1,1,0.899840749305202,1,283.0,243.0,219.0,191.2,,,1.1646090534979423,0.8586572438162544,40.0,27.80000000000001,0.3059518096816879,Team A ganó,Team A ganó,Correcta,0.7996814986104039
LP33 vs Giant Submarine,Giant Submarine,LP33,2022,0,0,1.522369199558935e-06,1,89.0,146.0,163.2,231.2,0.634,1.3519999999999999,0.6095890410958904,1.6404494382022472,-57.0,-68.0,-1.0308603971063568,Team B ganó,Team B ganó,Correcta,0.9999969552616009
FUSION vs KRÜ Esports,FUSION,KRÜ Esports,2022,0,0,0.007547968106822187,1,139.0,171.0,190.0,224.6,0.8460000000000001,1.134,0.8128654970760234,1.2302158273381294,-32.0,-34.599999999999994,-0.417350330262106,Team B ganó,Team B ganó,Correcta,0.9849040637863556
REIGNITE vs FENNEL,FENNEL,REIGNITE,2022,0,0,0.008067760513886559,1,116.0,140.0,173.2,206.6,0.828,1.1400000000000001,0.8285714285714286,1.206896551724138,-24.0,-33.400000000000006,-0.3783251231527093,Team B ganó,Team B ganó,Correcta,0.9838644789722268
NXL LIGAGAME vs FULL SENSE,FULL SENSE,NXL LIGAGAME,2021,1,1,0.981582362762367,1,177.0,148.0,222.2,190.8,1.1460000000000001,0.89,1.195945945945946,0.8361581920903954,29.0,31.399999999999977,0.3597877538555506,Team A ganó,Team A ganó,Correcta,0.963164725524734
Amollang vs CNJ Esports,Amollang,CNJ Esports,2022,0,0,0.0018936402598503845,1,172.0,226.0,166.0,218.4,0.7779999999999999,1.234,0.7610619469026548,1.313953488372093,-54.0,-52.400000000000006,-0.5528915414694381,Team B ganó,Team B ganó,Correcta,0.9962127194802992
Australs vs Kaos Latin Gamers,Australs,Kaos Latin Gamers,2021,1,1,0.9999068421083555,1,147.0,96.0,222.2,155.4,1.318,0.6719999999999999,1.53125,0.6530612244897959,51.0,66.79999999999998,0.8781887755102041,Team A ganó,Team A ganó,Correcta,0.9998136842167109
ONIC G vs Alter Ego,Alter Ego,ONIC G,2022,0,0,0.4626896957383673,1,851.0,894.0,189.85,197.35,0.9279999999999999,1.044,0.9497767857142857,1.0505287896592244,-43.0,-7.5,-0.10075200394493866,Team B ganó,Team B ganó,Correcta,0.07462060852326535
Janus Esports vs Akave Esports,Akave Esports,Janus Esports,2021,1,1,0.9818730145736767,1,156.0,130.0,224.0,201.8,1.088,0.8800000000000001,1.2,0.8333333333333334,26.0,22.19999999999999,0.3666666666666666,Team A ganó,Team A ganó,Correcta,0.9637460291473534
iPon Esport vs FlyMatez,FlyMatez,iPon Esport,2021,0,0,6.410121148256623e-05,1,102.0,159.0,175.6,235.0,,,0.6375,1.5588235294117647,-57.0,-59.400000000000006,-0.9213235294117648,Team B ganó,Team B ganó,Correcta,0.9998717975770348
Lasagna Beam vs Dem som ikke hopper,Dem som ikke hopper,Lasagna Beam,2021,0,0,5.250226471866771e-16,1,47.0,133.0,119.6,258.8,0.368,1.534,0.3533834586466165,2.8297872340425534,-86.0,-139.20000000000002,-2.4764037753959367,Team B ganó,Team B ganó,Correcta,0.999999999999999
Esport Szombathely vs TauCeti,Esport Szombathely,TauCeti,2021,0,0,3.4254421784113816e-06,1,94.0,156.0,163.6,234.6,0.6679999999999999,1.2879999999999998,0.6025641025641025,1.6595744680851063,-62.0,-71.0,-1.0570103655210037,Team B ganó,Team B ganó,Correcta,0.9999931491156432
Sentinels vs Akrew,Akrew,Sentinels,2022,0,1,0.5574334755593984,0,379.0,384.0,199.8,199.2,1.0290000000000001,0.994,0.9869791666666666,1.0105263157894737,-5.0,0.6000000000000227,-0.023547149122807087,Team B ganó,Team A ganó,Incorrecta,0.11486695111879675
StunZin5 vs Que La Famille,Que La Famille,StunZin5,2022,0,0,1.2112323920627617e-05,1,99.0,153.0,165.6,231.4,0.67,1.31,0.6470588235294118,1.5454545454545454,-54.0,-65.80000000000001,-0.8983957219251336,Team B ganó,Team B ganó,Correcta,0.9999757753521588
HolyMolly vs Desperado,Desperado,HolyMolly,2022,0,0,0.0034077368930598606,1,125.0,157.0,173.0,206.8,0.8459999999999999,1.1620000000000001,0.7961783439490446,1.256,-32.0,-33.80000000000001,-0.4598216560509554,Team B ganó,Team B ganó,Correcta,0.9931845262138803
Eclectiq vs Tokyo Revengers,Eclectiq,Tokyo Revengers,2022,1,1,0.999999595587436,1,78.0,41.0,242.2,155.6,1.348,0.616,1.9024390243902438,0.5256410256410257,37.0,86.6,1.3767979987492183,Team A ganó,Team A ganó,Correcta,0.999999191174872
Elysium vs Pack a Punch,Elysium,Pack a Punch,2022,0,0,4.304412717805726e-05,1,105.0,161.0,170.4,239.2,0.732,1.262,0.6521739130434783,1.5333333333333334,-56.0,-68.79999999999998,-0.8811594202898552,Team B ganó,Team B ganó,Correcta,0.9999139117456439
Team Name vs Able Esports,Able Esports,Team Name,2021,0,0,0.05749128054643883,1,199.0,225.0,193.0,207.6,0.906,1.048,0.8844444444444445,1.1306532663316582,-26.0,-14.599999999999994,-0.2462088218872137,Team B ganó,Team B ganó,Correcta,0.8850174389071224
Wolves Esports vs JDG Esports,JDG Esports,Wolves Esports,2024,1,1,0.9980779776284555,1,149.0,104.0,238.0,175.0,,,1.4326923076923077,0.697986577181208,45.0,63.0,0.7347057305110997,Team A ganó,Team A ganó,Correcta,0.996155955256911
Thunderbolts Gaming vs Antalyaspor Esports,Antalyaspor Esports,Thunderbolts Gaming,2021,1,1,0.7023007636073452,1,244.0,236.0,209.2,208.4,,,1.0338983050847457,0.9672131147540983,8.0,0.799999999999983,0.06668519033064735,Team A ganó,Team A ganó,Correcta,0.40460152721469034
Gambit Esports vs GMT Esports,GMT Esports,Gambit Esports,2021,0,0,0.003872525217287532,1,247.0,345.0,172.5,226.5,,,0.7138728323699421,1.3967611336032388,-98.0,-54.0,-0.6828883012332967,Team B ganó,Team B ganó,Correcta,0.9922549495654249
The Academy vs Mustang Gaming,Mustang Gaming,The Academy,2021,1,1,0.9983846882927763,1,171.0,126.0,228.6,184.2,1.182,0.774,1.3571428571428572,0.7325581395348837,45.0,44.400000000000006,0.6245847176079735,Team A ganó,Team A ganó,Correcta,0.9967693765855525
KABAHbl vs team420,KABAHbl,team420,2022,0,0,0.030219778658250724,1,133.0,155.0,186.8,200.8,0.9380000000000001,1.024,0.8580645161290322,1.1654135338345866,-22.0,-14.0,-0.30734901770555434,Team B ganó,Team B ganó,Correcta,0.9395604426834986
Global Esports vs Exceeli Esports,Exceeli Esports,Global Esports,2022,0,0,4.783264068321386e-07,1,83.0,143.0,154.6,237.2,0.6679999999999999,1.3,0.5804195804195804,1.7228915662650603,-60.0,-82.6,-1.14247198584548,Team B ganó,Team B ganó,Correcta,0.9999990433471864
Universe vs NyTipo,NyTipo,Universe,2022,1,1,0.9925581503726825,1,164.0,121.0,232.8,185.6,,,1.3553719008264462,0.7378048780487805,43.0,47.20000000000002,0.6175670227776657,Team A ganó,Team A ganó,Correcta,0.9851163007453649
GRN Gaming vs Team Inv,GRN Gaming,Team Inv,2022,1,1,0.908429406863911,1,176.0,157.0,217.0,196.4,1.1019999999999999,0.9099999999999999,1.1210191082802548,0.8920454545454546,19.0,20.599999999999994,0.22897365373480016,Team A ganó,Team A ganó,Correcta,0.8168588137278221
Team Inv vs EterNal,EterNal,Team Inv,2022,0,0,0.1694973952219246,1,198.0,218.0,198.2,225.2,0.9099999999999999,1.1099999999999999,0.908256880733945,1.101010101010101,-20.0,-27.0,-0.19275322027615605,Team B ganó,Team B ganó,Correcta,0.6610052095561507
beastcoast vs Depth Esports,Depth Esports,beastcoast,2021,0,0,0.03408224109087673,1,148.0,172.0,198.0,221.4,0.9,1.06,0.8604651162790697,1.162162162162162,-24.0,-23.400000000000006,-0.3016970458830923,Team B ganó,Team B ganó,Correcta,0.9318355178182466
Megastitut vs Sinop,Megastitut,Sinop,2022,1,1,0.9808793688089521,1,203.0,170.0,207.4,181.8,1.074,0.8800000000000001,1.1941176470588235,0.8374384236453202,33.0,25.599999999999994,0.35667922341350333,Team A ganó,Team A ganó,Correcta,0.9617587376179042
FULL SENSE vs BLEED,BLEED,FULL SENSE,2022,1,1,0.6478030464787072,1,210.0,206.0,200.6,191.8,1.01,0.9640000000000001,1.0194174757281553,0.9809523809523809,4.0,8.799999999999983,0.03846509477577442,Team A ganó,Team A ganó,Correcta,0.29560609295741447
forZe vs CrowСrowd,CrowСrowd,forZe,2021,0,0,0.01735695487963367,1,146.0,177.0,188.4,217.4,,,0.8248587570621468,1.2123287671232876,-31.0,-29.0,-0.3874700100611408,Team B ganó,Team B ganó,Correcta,0.9652860902407326
GMT Esports vs Gambit Esports,GMT Esports,Gambit Esports,2021,0,0,0.004960907271569102,1,277.0,367.0,182.9,230.7,0.82,1.168,0.7547683923705722,1.3249097472924187,-90.0,-47.79999999999998,-0.5701413549218465,Team B ganó,Team B ganó,Correcta,0.9900781854568618
Rio Company vs TUBEPLE Gaming,Rio Company,TUBEPLE Gaming,2021,1,1,0.8461213335800094,1,166.0,153.0,208.4,194.0,1.0879999999999999,0.8939999999999999,1.0849673202614378,0.9216867469879518,13.0,14.400000000000006,0.163280573273486,Team A ganó,Team A ganó,Correcta,0.6922426671600188
Team Secret vs Action PH,Action PH,Team Secret,2022,0,1,0.7461510311656137,0,382.0,365.0,199.0,193.0909090909091,1.04,0.9472727272727273,1.0465753424657533,0.9554973821989529,17.0,5.9090909090909065,0.09107796026680048,Team B ganó,Team A ganó,Incorrecta,0.4923020623312273
Global Esports vs Team Secret,Global Esports,Team Secret,2025,0,0,0.26886750505475465,1,400.0,430.0,190.1,205.6,0.933,1.012,0.9302325581395349,1.075,-30.0,-15.5,-0.14476744186046508,Team B ganó,Team B ganó,Correcta,0.4622649898904907
ex-AING MAUNG Esports vs Firecrest,Firecrest,ex-AING MAUNG Esports,2021,0,0,3.7603552319481776e-08,1,70.0,140.0,153.4,254.0,,,0.5,2.0,-70.0,-100.6,-1.5,Team B ganó,Team B ganó,Correcta,0.9999999247928953
Jesfrelho vs Gehenna Sweepers,Gehenna Sweepers,Jesfrelho,2021,0,0,0.30635237790251074,1,221.0,241.0,190.6,217.2,,,0.91701244813278,1.090497737556561,-20.0,-26.599999999999994,-0.17348528942378094,Team B ganó,Team B ganó,Correcta,0.3872952441949785
WhynotVLR vs Chakalaka,Chakalaka,WhynotVLR,2021,1,1,0.9962639827251439,1,163.0,121.0,227.0,186.4,,,1.3471074380165289,0.7423312883435583,42.0,40.599999999999994,0.6047761496729706,Team A ganó,Team A ganó,Correcta,0.9925279654502879
iXA vs Storks Phalanx,Storks Phalanx,iXA,2022,1,1,0.9991979842745359,1,155.0,113.0,229.4,175.6,1.24,0.752,1.3716814159292035,0.7290322580645161,42.0,53.80000000000001,0.6426491578646873,Team A ganó,Team A ganó,Correcta,0.9983959685490718
TSM vs ez5,TSM,ez5,2021,1,1,0.9999747927129691,1,143.0,88.0,230.6,164.6,1.29,0.694,1.625,0.6153846153846154,55.0,66.0,1.0096153846153846,Team A ganó,Team A ganó,Correcta,0.9999495854259381
TooManyQuestions vs Hollywood,Hollywood,TooManyQuestions,2021,0,0,1.5214178207100225e-10,1,58.0,136.0,129.4,256.6,,,0.4264705882352941,2.3448275862068964,-78.0,-127.20000000000002,-1.9183569979716022,Team B ganó,Team B ganó,Correcta,0.9999999996957164
