equipo,total_partidos,total_victorias,winrate,accuracy_modelo,avg_acs,avg_kd,avg_kills
Rix.GG Thunder,6.0,5.0,83.33,100.0,208.89999999999998,1.2522429261559695,165.0
SCYTES,3.0,2.0,66.67,100.0,225.2,1.471698113207547,156.0
SENTHEX,3.0,1.0,33.33,100.0,201.8,1.3199814890991362,111.0
SG e-Sports,4.0,3.0,75.0,100.0,227.4,1.379594017094017,163.5
SLICK,5.0,2.0,40.0,80.0,202.73333333333335,1.1536658841940532,170.0
SMARACIS eSports,5.0,4.0,80.0,100.0,224.0,1.359432886862354,161.0
SPEAR GAMING,11.0,7.0,63.64,90.91,221.20000000000002,1.20746172591228,295.6666666666667
SV Empire,3.0,2.0,66.67,100.0,228.8,1.6777777777777778,151.0
Sangal Esports,5.0,4.0,80.0,100.0,252.0,1.697674418604651,146.0
Save's eSports,3.0,1.0,33.33,100.0,207.2,0.9785407725321889,228.0
Seekers,4.0,2.0,50.0,100.0,193.3,0.9060199878452293,221.5
Sentinels,9.0,9.0,100.0,77.78,226.46666666666667,1.4273939808481533,195.33333333333334
Sharks Esports,3.0,3.0,100.0,66.67,221.2,1.177304964539007,166.0
Sharper Esport,7.0,6.0,85.71,85.71,239.8,1.6024096385542168,133.0
Skwirel Warriers,3.0,2.0,66.67,100.0,241.8,1.5047619047619047,158.0
SoaR,5.0,4.0,80.0,80.0,228.7,1.362108314828522,174.0
Soniqs,7.0,6.0,85.71,100.0,213.7,1.141593665768194,170.0
South Built Esports,7.0,4.0,57.14,100.0,209.75454545454545,1.1295093295716219,221.5
Straight Outta Retirement,5.0,4.0,80.0,100.0,213.9333333333333,1.2676253821450418,176.66666666666666
Straight Outta The Zoo,3.0,1.0,33.33,100.0,168.2,0.6730769230769231,140.0
Surreal Esports,6.0,4.0,66.67,100.0,190.89999999999998,0.9240038441635249,151.5
Sweet and Spicy Cajun,3.0,2.0,66.67,66.67,218.2,1.1146496815286624,175.0
T1,16.0,8.0,50.0,93.75,183.7,0.805741484456344,132.0
TENSTAR,6.0,3.0,50.0,100.0,207.4,1.0932688140979345,199.5
TNL Esports,8.0,6.0,75.0,100.0,204.5,1.1080042206813385,195.5
TSM,11.0,9.0,81.82,100.0,244.10000000000002,2.2325,142.5
TUBEPLE Gaming,4.0,3.0,75.0,100.0,227.2,1.225130890052356,234.0
Tactical Five,3.0,2.0,66.67,66.67,190.6,0.9024390243902439,222.0
